,msgid,ssvid,seg_id,timestamp,lat,lon,speed_knots,heading,course,meters_to_prev,implied_speed_knots,hours,night,nnet_score,logistic_score,night_loitering,type,source,receiver_type,distance_from_port_m,distance_from_shore_m,distance_from_sat_km,is_fishing_vessel,AIS_class
5678,eb89397a-00c8-0ac9-d408-68dd8f35773b,150402944,150402944-2022-04-21T18:16:31.000000Z,01/01/2023 02:17,-45.744353,-60.480528,0.9,1,1.9,0,0,0.013333333,TRUE,1,1,1,AIS.18,exactearth,satellite,420048.938,402000,NA,TRUE,B
5703,5549a588-0939-abe9-fb97-8c62e25e2975,150402944,150402944-2022-04-21T18:16:31.000000Z,01/01/2023 02:49,-45.742533,-60.479215,0.5,246,246.6,0,0,0.038888889,TRUE,1,1,1,AIS.18,exactearth,satellite,420048.938,402000,NA,TRUE,B
5698,797fc5a2-6cbb-9f83-c657-11aa36425a72,150402944,150402944-2022-04-21T18:16:31.000000Z,01/01/2023 03:25,-45.741287,-60.474093,0.6,61,61.9,16.80917855,0.363044638,0.025,TRUE,1,1,1,AIS.18,spire,satellite,420808.75,402000,NA,TRUE,B
5715,70e61879-6ac6-0784-4d73-711e91d2c5d9,150402944,150402944-2022-04-21T18:16:31.000000Z,01/01/2023 03:32,-45.741067,-60.47286,1.4,62,62.1,0,0,0.002222222,TRUE,1,1,1,AIS.18,exactearth,satellite,420808.75,402000,NA,TRUE,B
5688,69db66bf-b8bf-75fd-a4ee-c125d57101e8,150402944,150402944-2022-04-21T18:16:31.000000Z,01/01/2023 04:04,-45.739525,-60.46741,0.7,82,76.7,23.35022382,0.756477201,0.016666667,TRUE,1,1,1,AIS.18,exactearth,satellite,420808.75,402000,NA,TRUE,B
5710,0ce2d528-7658-5a0a-736b-dc20a9a35969,150402944,150402944-2022-04-21T18:16:31.000000Z,01/01/2023 04:28,-45.738452,-60.460428,0.8,88,88,28.29820431,0.604468302,0.025277778,TRUE,1,1,1,AIS.18,spire,satellite,421568.625,403000,NA,TRUE,B
5689,3b9575e1-18a9-8a4b-8dbe-5757400f3ad3,150402944,150402944-2022-04-21T18:16:31.000000Z,01/01/2023 05:14,-45.736062,-60.44668,1,76,87.8,14.42079363,0.509662311,0.015277778,TRUE,1,0,1,AIS.18,exactearth,satellite,422328.594,404000,NA,TRUE,B
5672,0f034ed9-45eb-90b5-77f8-dc8a3fff8bf8,150402944,150402944-2022-04-21T18:16:31.000000Z,01/01/2023 05:50,-45.733885,-60.434497,1.1,76,76.3,0,0,0.01,TRUE,1,0,1,AIS.18,exactearth,satellite,423626.219,405000,NA,TRUE,B
5664,c6e02a0d-18d7-f099-4cac-9a1cf6b0dafe,150402944,150402944-2022-04-21T18:16:31.000000Z,01/01/2023 06:11,-45.732367,-60.42653,0.8,80,80,14.37979916,0.481926572,0.016111111,TRUE,1,1,1,AIS.18,spire,satellite,423626.219,405000,NA,TRUE,B
5654,62792e8d-922e-a0bb-aa55-b147523e0364,150402944,150402944-2022-04-21T18:16:31.000000Z,01/01/2023 06:23,-45.731378,-60.421932,1.3,83,92.3,17.85894201,0.738607844,0.013055556,TRUE,1,1,1,AIS.18,exactearth,satellite,424386.969,406000,NA,TRUE,B
5695,c6411ed6-b863-d6a2-5449-a3d83729a560,150402944,150402944-2022-04-21T18:16:31.000000Z,01/01/2023 07:02,-45.727355,-60.406308,1.9,51,70.4,23.7689246,0.783093407,0.016388889,TRUE,1,1,1,AIS.18,spire,satellite,425147.75,407000,1691.397614,TRUE,B
5675,718c4ce6-5d1d-1644-ef4e-b899c5bb70c0,150402944,150402944-2022-04-21T18:16:31.000000Z,01/01/2023 07:05,-45.727008,-60.404893,1.6,81,53.8,26.10806997,0.874989458,0.016111111,TRUE,1,1,1,AIS.18,spire,satellite,425908.625,407000,NA,TRUE,B
5693,2e031b66-eecc-0d80-c8ea-17d5f7c8c64d,150402944,150402944-2022-04-21T18:16:31.000000Z,01/01/2023 07:47,-45.72102,-60.387945,1.1,57,57.5,43.28029329,1.314517183,0.017777778,TRUE,1,1,1,AIS.18,spire,satellite,426451.969,408000,NA,TRUE,B
5714,033a4a35-1f6e-fc87-6b84-0dcf22069bf0,150402944,150402944-2022-04-21T18:16:31.000000Z,01/01/2023 08:44,-45.710338,-60.367403,1.8,63,67,48.04035639,1.228707968,0.021111111,FALSE,1,1,0,AIS.18,spire,satellite,427761.344,409000,NA,TRUE,B
