MMSI,Vessel Names
150400453,"LURONGYUANYU195, FUYUANYU715, LURONGYUANYU715, SHUNHANG3, HAIHANG3, FUYUANYU9995, LURONGYUANYU581, SHUNHANG79, SHUNHANGYUANYU879, FUYUANYU303"
150400465,"FUYUANYU715, LURONGYUANYU715"
150400467,"FUYUANYU715, LURONGYUANYU715"
150400483,"LURONGYUANYU715, LURONGYUANYU717"
150402940,"FUYUANYU9993, LURONGYUANYU197, LURONGYUANYU717, URONG5, HAIHANG5, SHUNHANG5, SHUNHANG66, LUQINGYUANYU271, FUYUANYU0309"
150402944,"HAIHANG1, LURONGYUANYU277, FUYUANYU9993, SHUNHANG1, LURONGYUANYU20, LURONGYUANYU195, FUYUANYU717, SHUNHANG67, LURONGYUANYU601, LUWENYUANGYU601"
150402947,"LURONGYUANYU277, LURONGYUANYU195, FUYUANYU717, LURONGYUANYU581, LURONGYUANYU197, LURONGYUANYU717, SHUNHANG68"
150402949,"SHUNHANG67, HAIHANG6, IURONG6, LUQINGYUANYU290, SHUNHANG6, LURONGYUANYU197"
150402951,"LURONGYUANYU20, LURONGYUANYU278, HAIHANG2, SHUNHANG2, FUYUANYU9994"
150403000,"HAIHANG6, LURONGYUANYU197"
150403003,"LURONGYUANYU277, LURONGYUANYU278"
