"","ssvid","mmsi","Transmissions"
"1",150400450,"LURONGYUANYU715",5
"2",150400459,"LURONGYUANYU195",5
"3",150400460,"FUYUANYU715",6
"4",150400463,"LURONGYUANYU715",8
"5",150400469,"HAIHANG3",4
"6",150400471,"LURONGYUANYU715",5
"7",150400476,"LURONGYUANYU715",6
"8",150400477,"FUYUANYU715",2
"9",150400478,"LURONGYUANYU715",4
"10",150400480,"FUYUANYU715",5
"11",150400488,"LURONGYUANYU715",8
"12",150400499,"LURONGYUANYU715",6
"13",150400502,"LURONGYUANYU715",7
"14",150400508,"LURONGYUANYU195",2
"15",150402917,"URONG5",6
"16",150402945,"HAIHANG1",8
"17",150402952,"LURONGYUANYU277",10
"18",150402957,"LURONGYUANYU715",5
"19",150402960,"FUYUANYU9993",9
"20",150402974,"LURONGYUANYU277",10
"21",150402978,"SHUNHANG1",9
"22",150402988,"LURONGYUANYU277",13
"23",150402989,"HAIHANG1",11
"24",150402995,"FUYUANYU9993",11
"25",150402998,"LURONGYUANYU277",9
"26",150403001,"LURONGYUANYU277",9
"27",150403002,"HAIHANG1",6
"28",150403005,"LURONGYUANYU277",11
"29",150403006,"LURONGYUANYU277",15
"30",150403007,"LURONGYUANYU277",6
